Episode,MaxX,CumulativeReward,TimeAlive
1,1.736386776,223.3354509,1.55
2,1.575721145,191.7495767,1.483333333
3,0.1113762185,222.0629171,16
4,1.727187514,226.0053458,2.116666667
5,0.425567627,344.7762166,16
6,1.96384418,250.3341153,1.533333333
7,0.2940052748,256.2740079,16
8,1.863310337,240.5065128,1.6
9,1.830197453,259.0361542,1.916666667
10,2.191956282,288.1186295,1.466666667
11,1.132865429,313.2206799,6.6
12,2.038075686,255.5349734,1.433333333
13,2.044434309,259.1976022,1.483333333
14,2.024515152,254.7734856,1.45
15,2.114749432,268.67012,1.416666667
16,2.26525116,344.3996595,2.05
17,2.06636858,259.7678371,1.5
18,2.281574965,294.3708538,1.316666667
19,2.121917248,269.6571449,1.433333333
20,2.050919056,260.39692,1.333333333
21,2.21356082,287.4045629,1.716666667
22,2.165284872,276.6394949,1.416666667
23,2.090224743,262.6215673,1.616666667
24,2.122800589,267.7185919,1.366666667
25,2.070513487,262.2149285,1.533333333
26,2.211168766,284.3457414,1.466666667
27,2.139219046,271.6077178,1.433333333
28,2.196164608,275.9121634,1.616666667
29,2.177539825,275.3259134,1.516666667
30,2.033459425,254.7788989,1.35
31,2.096941471,258.2804687,1.55
32,2.044335365,260.0133809,1.366666667
33,2.039036274,254.1707609,1.6
34,1.986205697,248.3728164,1.516666667
35,2.278125525,292.8179422,1.633333333
36,2.347115517,305.4995294,1.583333333
37,2.107590437,272.5928838,1.666666667
38,2.101799726,261.2639439,1.316666667
39,2.065686703,256.3815464,1.483333333
40,2.222176313,283.606543,1.483333333
41,2.132961035,264.2898693,1.383333333
42,2.123621702,268.5124241,1.366666667
43,2.380336285,312.5598925,1.483333333
44,2.200408936,281.2891269,1.533333333
45,2.155009747,276.7554207,1.35
46,2.241571665,289.4683768,1.283333333
47,2.565957308,346.4126841,1.433333333
48,2.241864681,286.1065372,1.35
49,2.367227316,306.1377566,1.533333333
50,2.232488632,286.4635255,1.416666667
51,2.128684282,267.2187526,1.416666667
52,2.468506336,330.0084235,1.45
53,2.378527641,312.9811615,1.483333333
54,2.446508646,322.602435,1.466666667
55,2.277451277,288.1876387,1.666666667
56,2.451167583,321.5223407,1.666666667
57,2.303472519,294.5870866,1.416666667
58,2.55573225,342.5086528,1.416666667
59,2.380131721,310.7953733,1.65
60,2.380467653,314.4253002,1.466666667
61,2.387663603,312.0175797,1.433333333
62,2.318264246,298.1732747,1.45
63,2.422324181,321.6039395,1.45
64,2.566770077,347.0838189,1.616666667
65,2.404624462,314.4049019,1.433333333
66,2.320278883,298.0357925,1.45
67,2.281731129,292.231284,1.466666667
68,2.55037117,344.4566951,1.466666667
69,2.453185558,317.6353101,1.8
70,2.409992933,317.1989004,1.65
71,2.308778763,298.0549562,1.383333333
72,2.377305031,308.8054797,1.5
73,2.450936317,320.7575404,1.483333333
74,2.535249472,338.2066923,1.683333333
75,2.325289965,301.2093481,1.816666667
76,2.618844271,354.6608454,1.516666667
77,2.387762785,312.0470831,1.5
78,2.393632174,310.4092419,1.7
79,2.575572252,339.8488614,1.7
80,2.362451553,310.4851229,1.433333333
81,2.44096446,316.0076551,1.566666667
82,2.587999582,343.2718468,1.583333333
83,2.459505558,328.5423808,1.233333333
84,2.4503088,322.6240973,1.45
85,2.460944891,323.3926346,1.433333333
86,2.379454851,311.010783,1.416666667
87,2.399915934,313.9703762,1.65
88,2.496369362,327.1641258,1.5
89,2.485177279,331.8890322,1.566666667
90,2.487032175,329.9144974,1.416666667
91,2.483952522,327.4576797,1.45
92,2.570517302,336.5392646,1.9
93,2.522815466,332.4188084,1.75
94,2.446772814,320.4467595,1.616666667
95,2.529302597,336.7419986,1.366666667
96,2.507627249,333.0239173,1.566666667
97,2.424944639,316.7311214,1.433333333
98,2.579285383,344.4404428,1.416666667
99,2.568435431,341.20605,1.65
100,2.477842808,325.0950004,1.583333333
101,2.592274666,346.8296147,1.533333333
102,2.557254791,340.4642277,1.633333333
103,2.791837454,380.2300602,1.55
104,2.467926502,325.4890139,1.333333333
105,2.640988111,353.6231293,1.616666667
106,2.574820995,345.9357968,1.45
107,2.605893135,343.1332833,1.616666667
108,2.3919487,315.0173205,1.45
109,2.483242512,333.2597096,1.433333333
110,2.496585608,328.115247,1.45
111,2.61642766,352.5646383,1.883333333
112,2.496767282,328.5364566,1.483333333
113,2.779962301,384.2053243,1.8
114,2.474436283,324.5179514,1.433333333
115,2.762051344,376.7753399,1.8
116,2.583292723,346.3007482,1.55
117,2.541382313,339.9090114,1.683333333
118,2.487416506,327.4627938,1.65
119,2.487874746,329.5732236,1.65
120,2.972617626,412.6666586,1.933333333
121,2.662387848,358.8053156,1.683333333
122,2.671424389,359.23426,1.533333333
123,2.59952879,353.3433924,1.466666667
124,2.571372509,342.0174367,1.633333333
125,2.621962309,352.1063752,1.483333333
126,2.694081306,366.0780177,1.5
127,2.540911913,338.9325189,1.85
128,2.753316879,376.3739217,1.7
129,2.551953793,340.5165274,1.7
130,3.105463028,434.3564146,2.083333333
131,2.567987919,343.5028005,1.516666667
132,2.514619589,336.7128076,1.533333333
133,2.668574095,363.2217174,1.466666667
134,2.719395638,370.4387943,1.5
135,2.803542852,385.8149177,1.55
136,2.563913107,342.3926311,1.366666667
137,2.555717945,341.4940894,1.7
138,2.797809839,381.6631658,1.483333333
139,2.684292316,365.4674314,1.483333333
140,2.872798443,400.7985776,1.366666667
141,2.578063488,344.3526252,1.433333333
142,2.643449545,356.8906864,1.5
143,2.687710524,363.3584545,1.433333333
144,2.62650156,357.1486064,1.5
145,2.714916229,361.8829321,2.4
146,2.542402983,342.1336666,1.45
147,2.674656153,363.0803294,1.566666667
148,2.65967226,352.8539247,1.833333333
149,2.58537364,347.7635201,1.466666667
150,2.738121271,368.8952744,1.5
151,2.551921844,344.1326232,1.483333333
152,2.60158062,346.7216593,1.683333333
153,2.680297852,364.8317338,1.566666667
154,2.718953133,373.9576206,1.416666667
155,2.694328547,364.5917394,1.466666667
156,2.697080612,371.9538307,1.466666667
157,2.735248566,376.3112383,1.533333333
158,2.6961658,366.7819618,1.8
159,2.690147161,363.7759214,1.466666667
160,2.7520504,370.6704482,1.5
161,2.694509268,367.2894962,1.533333333
162,2.596550941,349.8775608,1.7
163,2.740508795,376.3606526,1.4
164,2.77417922,383.0023274,1.433333333
165,2.784435749,381.0576467,1.533333333
166,2.727971315,371.4538884,1.45
167,2.746342659,374.9873932,2.1
168,2.961912155,409.6043025,2.516666667
169,2.662143707,358.997576,1.466666667
170,2.502526522,334.363189,1.566666667
171,2.728297949,369.0920155,1.583333333
172,2.663742781,359.4874224,1.516666667
173,2.716885567,367.0891784,1.483333333
174,2.567831516,343.1602897,1.383333333
175,2.662599087,360.5333641,1.466666667
176,2.587856054,347.2799,1.466666667
177,2.615716934,349.2914158,1.4
178,2.6032269,347.6045282,1.233333333
179,2.686115742,364.9221586,1.533333333
180,2.553725004,341.9015421,1.5
181,2.542621374,339.9092724,1.533333333
182,2.705003977,367.0492567,1.533333333
183,2.727187634,371.3576338,1.5
184,2.649160385,359.1305951,1.516666667
185,2.542479038,337.9664577,1.633333333
186,2.752150774,375.5955678,1.533333333
187,2.663978338,363.9616979,1.466666667
188,2.64458704,358.1850158,1.533333333
189,2.763810396,388.4826742,3.416666667
190,2.667801857,357.6758634,1.566666667
191,2.600708961,345.2379146,1.833333333
192,2.6980474,367.5673745,1.466666667
193,2.784209967,379.8531407,1.833333333
194,2.902583838,401.8226068,1.533333333
195,2.568511248,343.8905478,1.5
196,3.103903294,423.1174093,2.7
197,2.659081221,362.2660918,1.766666667
198,2.647894621,357.1690364,1.583333333
199,2.742429256,372.3292236,1.783333333
200,2.871037245,392.5585271,1.833333333
201,2.666950703,358.1701868,1.683333333
202,2.547216415,340.3457237,1.75
203,2.70843792,370.8646169,1.466666667
204,2.586268425,348.2323634,1.5
205,2.702524185,370.05237,1.533333333
206,2.965714455,413.9364038,1.516666667
207,2.642440796,355.4123144,1.4
208,2.73739624,372.1629948,1.533333333
209,2.603889942,345.9086918,1.816666667
210,2.687901497,362.286284,1.683333333
211,2.603854895,350.9614519,1.816666667
212,2.656029224,357.2529399,1.516666667
213,2.674242496,359.8108622,1.7
214,2.753657818,374.6800274,1.5
215,2.680361271,363.3125204,1.45
216,2.718653917,371.3898086,1.483333333
217,2.626687527,353.9351951,1.533333333
218,2.706257582,368.6628634,1.833333333
219,2.679404974,358.0269289,1.75
220,2.708304405,368.1365323,1.533333333
221,2.725315094,368.3667297,1.766666667
222,2.695192814,368.9941761,1.516666667
223,2.675020933,362.3911223,1.516666667
224,2.778134346,381.3039533,1.533333333
225,2.568603754,348.5092783,1.533333333
226,2.728737831,371.30587,1.566666667
227,2.705100298,367.5419927,1.583333333
228,2.667725086,362.2747055,1.65
229,2.68464613,365.0865914,1.65
230,2.573701143,348.6010457,1.6
231,2.537921429,336.7249471,1.666666667
232,2.712587118,370.3475049,1.5
233,2.66153121,359.9111567,1.516666667
234,2.688174248,363.9099913,1.533333333
235,2.687303782,366.0245927,1.45
236,2.844531059,391.5017168,1.516666667
237,2.798493385,382.559491,1.466666667
238,2.755466938,375.7577941,1.466666667
239,2.643681765,356.9389856,1.533333333
240,2.649632931,355.5196453,1.433333333
241,2.601692915,353.0497518,1.45
242,2.622762203,353.4207452,1.483333333
243,2.727909565,369.6896625,1.45
244,2.621421099,354.2003065,1.483333333
245,2.791719675,383.3233388,1.533333333
246,2.868762255,398.8359787,1.533333333
247,2.75171876,374.3395238,1.466666667
248,2.813410997,386.8809125,1.483333333
249,2.668857098,361.3771981,1.5
250,2.789045811,382.1556335,1.533333333
251,2.683872938,362.8838588,1.35
252,2.619030476,355.4815709,1.45
253,2.723619461,373.0149154,1.5
254,2.797936201,387.2359275,1.466666667
255,2.724607468,371.0084798,1.483333333
256,2.706673622,370.5754782,1.5
257,2.779076099,378.6788455,1.45
258,2.754532099,381.609679,1.466666667
259,2.60831809,351.7701903,1.466666667
260,2.850044489,388.5492299,1.483333333
261,2.829954147,391.3249099,1.466666667
262,2.737293005,372.6618441,1.566666667
263,2.85872817,395.9878675,1.516666667
264,2.813143492,389.7958435,1.55
265,2.791341066,381.3091548,1.45
266,2.89478898,403.0745869,1.533333333
267,2.841176033,395.692392,1.483333333
268,2.728776693,370.8305159,1.433333333
269,2.801851749,384.5672069,1.45
270,2.738537312,377.4426637,1.483333333
271,2.808727503,386.3551397,1.483333333
272,2.688258648,366.4554738,1.466666667
273,2.766777754,379.9056692,1.45
274,2.813857079,385.8922389,1.483333333
275,2.842895985,393.9648885,1.55
276,2.853604794,392.72518,1.5
277,2.779301167,378.7317674,1.466666667
278,2.761035442,378.0218132,1.466666667
279,2.863010645,395.7263855,1.5
280,2.839570284,389.6038171,1.483333333
281,2.70864296,365.2623406,1.466666667
282,2.841020107,392.7087627,1.483333333
283,2.792022705,384.1432173,1.466666667
284,2.758149147,376.5241294,1.45
285,2.822249174,388.6039995,1.533333333
286,2.812334061,389.0848212,1.483333333
287,2.775282145,382.1345909,1.466666667
288,2.771935701,380.8336481,1.5
289,2.793694019,385.7887447,1.5
290,2.976071835,414.6592288,1.483333333
291,2.70942378,369.7846491,1.5
292,2.719881058,368.428978,1.483333333
293,2.823791981,389.0905025,1.6
294,2.708482504,366.9483572,1.433333333
295,2.732856512,372.4540967,1.533333333
296,2.908650637,404.3159562,1.5
297,2.800845385,386.7362279,1.45
298,2.71784234,366.2466798,1.55
299,2.93160367,407.7319547,1.466666667
300,2.73434639,369.0783487,1.516666667
301,2.828565836,387.9999759,1.533333333
302,2.840360641,389.6321327,1.45
303,2.965246916,418.451915,1.5
304,2.931632519,410.5228701,1.466666667
305,2.739230871,379.377336,1.466666667
306,2.798692226,382.9214454,1.45
307,2.755913496,380.4217409,1.5
308,2.845337391,392.0287412,1.583333333
309,2.727795601,370.7437389,1.483333333
310,2.743230343,372.833995,1.5
311,2.85343051,395.5235773,1.483333333
312,2.690581083,366.0485564,1.466666667
313,2.865017891,394.8706752,1.55
314,2.820887804,388.6830549,1.5
315,2.863767862,395.7745376,1.466666667
316,2.907433748,405.1308177,1.466666667
317,2.913717985,406.5888115,1.483333333
318,2.828388929,390.1372145,1.466666667
319,2.7534554,375.7884618,1.466666667
320,2.829045296,387.2975715,1.466666667
321,2.737063408,376.3732385,1.483333333
322,2.87969923,398.5973954,1.516666667
323,2.841418982,389.242282,1.483333333
324,2.805652142,388.1184584,1.45
325,2.700577736,365.145772,1.483333333
326,2.82746172,389.5503365,1.483333333
327,2.754939079,376.3585821,1.566666667
328,2.870519876,399.5724443,1.5
329,2.713858128,366.8147134,1.433333333
330,2.81264925,388.3715667,1.5
331,2.789462566,380.0736805,1.45
332,2.832309484,387.9160929,1.483333333
333,2.833751202,389.6407587,1.483333333
334,2.919190168,405.6740727,1.45
335,2.878625154,397.6944107,1.5
336,2.928685665,406.3378836,1.466666667
337,2.753655434,375.4411866,1.45
338,2.711759567,366.9681691,1.466666667
